#wavelength (nm), radius_ratio (rr), error of rr (+), error of rr (-)
2.808124034141403627e+03,1.493011406690371579e-01,1.802565490978041973e-03,1.662249816234695476e-03
2.808802718286166964e+03,1.453660939230614901e-01,1.807589667201264794e-03,1.659214430272726304e-03
2.809481399608011543e+03,1.463380451504963375e-01,1.799803107722403039e-03,1.663355881485695242e-03
2.810160078103568594e+03,1.480366987748029106e-01,1.597200350623245724e-03,2.060856693525431327e-03
2.810838753769518917e+03,1.466381712862095399e-01,1.530976564343505819e-03,2.005975714380658914e-03
2.811517426602564228e+03,1.473100412181047592e-01,2.117069759357687042e-03,1.638980567453651727e-03
2.812196096599352131e+03,1.500076077569291733e-01,1.725970199738663391e-03,1.419948637583712259e-03
2.812874763756555240e+03,1.507727226422879152e-01,1.793978208145835529e-03,1.794041562063836137e-03
2.813553428070890277e+03,1.495674249933909017e-01,1.772621013689579250e-03,1.921079770118128138e-03
2.814232089539013487e+03,1.475674499405758011e-01,1.476191305278123922e-03,1.789695668858642952e-03
2.814910748157597027e+03,1.450028663291317299e-01,1.866747673128804630e-03,1.714611043795416512e-03
2.815589403923367172e+03,1.480111198834646036e-01,1.848459122448714576e-03,1.848216120968665388e-03
2.816268056832992443e+03,1.465966498712071298e-01,1.731973409317355550e-03,1.487503141370444260e-03
2.816946706883140450e+03,1.490706079425326291e-01,1.433452450712358051e-03,1.829707506172589815e-03
2.817625354070551111e+03,1.499509333004272471e-01,1.477981660001903563e-03,1.463994148873881684e-03
2.818303998391902041e+03,1.519531734350186569e-01,1.495331740872657411e-03,1.686500016867376051e-03
2.818982639843860397e+03,1.497415492983798502e-01,1.797940989186841421e-03,1.361538630021447149e-03
2.819661278423176100e+03,1.478252943511674244e-01,1.407777724722669710e-03,1.754647657275787420e-03
2.820339914126533586e+03,1.488744778231302357e-01,1.415379092468471711e-03,1.728848451704123601e-03
2.821018546950604559e+03,1.492629099711003382e-01,1.430007792965926061e-03,1.528555636416517594e-03
2.821697176892147127e+03,1.481508359172029610e-01,1.791142916735877222e-03,1.673310406990785593e-03
